"Line","Hybrid_Name","Env","DTHD","DTMT","GY","Height"
"GID6934811","GID6934811","Bed5IR",83,124,6.016247958,96
"GID6934816","GID6934816","Bed5IR",75,119,5.610742108,105
"GID6934851","GID6934851","Bed5IR",81,126,7.262571553,100
"GID6934881","GID6934881","Bed5IR",82,123,6.052706228,104
"GID6934889","GID6934889","Bed5IR",87,127,6.487974591,110
"GID6934907","GID6934907","Bed5IR",83,120,6.196307621,105
"GID6934920","GID6934920","Bed5IR",80,123,6.621515452,110
"GID6934953","GID6934953","Bed5IR",80.66666667,124.6666667,6.667217603,99.66666667
"GID6934954","GID6934954","Bed5IR",81,125.3333333,6.852485633,101.6666667
"GID6934955","GID6934955","Bed5IR",80.33333333,125,6.789241663,102.6666667
"GID6934956","GID6934956","Bed5IR",80.33333333,126.3333333,6.245343026,99.33333333
"GID6934973","GID6934973","Bed5IR",88.33333333,127.3333333,6.356950086,98.66666667
"GID6934982","GID6934982","Bed5IR",82.66666667,125.3333333,6.996831146,103
"GID6935028","GID6935028","Bed5IR",79.33333333,125,6.377101309,101.3333333
"GID6935030","GID6935030","Bed5IR",76.33333333,117.3333333,6.232012339,98
"GID6935036","GID6935036","Bed5IR",76,116,5.750519465,100
"GID6935075","GID6935075","Bed5IR",86,124,6.422394222,102
"GID6935086","GID6935086","Bed5IR",76,118,6.412868949,106
"GID6935143","GID6935143","Bed5IR",89.66666667,131.3333333,5.403529411,100.6666667
"GID6935144","GID6935144","Bed5IR",92,133.6666667,6.021088775,102.3333333
"GID6935159","GID6935159","Bed5IR",82.33333333,124.3333333,5.607398531,103.3333333
"GID6935237","GID6935237","Bed5IR",89.33333333,129,5.463053558,104.3333333
"GID6935245","GID6935245","Bed5IR",86.33333333,126,5.980166678,103.3333333
"GID6935246","GID6935246","Bed5IR",86,125.3333333,5.910226375,100.3333333
"GID6935247","GID6935247","Bed5IR",86.33333333,125.3333333,6.032994071,99.33333333
"GID6935248","GID6935248","Bed5IR",87.33333333,126.6666667,5.993559768,103.6666667
"GID6935249","GID6935249","Bed5IR",85,125.3333333,6.303083465,101
"GID6935251","GID6935251","Bed5IR",86.66666667,126.3333333,5.527785828,100.6666667
"GID6935254","GID6935254","Bed5IR",89.66666667,128,6.20441973,100.3333333
"GID6935255","GID6935255","Bed5IR",86.33333333,125.6666667,6.28328876,95.66666667
"GID6935264","GID6935264","Bed5IR",69.66666667,116.3333333,6.04668182,90
"GID6935268","GID6935268","Bed5IR",76.33333333,120,6.49757491,100.6666667
"GID6935273","GID6935273","Bed5IR",70.33333333,115,5.699363428,102
"GID6935274","GID6935274","Bed5IR",85,126.6666667,5.919601458,105
"GID6935282","GID6935282","Bed5IR",82.66666667,125.3333333,6.298321821,104.3333333
"GID6935291","GID6935291","Bed5IR",76,123,6.609333548,102
"GID6935367","GID6935367","Bed5IR",83.66666667,125.6666667,6.144304241,104.3333333
"GID6935372","GID6935372","Bed5IR",85,126.3333333,5.877935271,105
"GID6935422","GID6935422","Bed5IR",87,129,6.441143189,92
"GID6935436","GID6935436","Bed5IR",76,115,6.337720129,102
"GID6935450","GID6935450","Bed5IR",75,117,7.674773826,103
"GID6935465","GID6935465","Bed5IR",80,125,5.743262005,103
"GID6935477","GID6935477","Bed5IR",78.33333333,119.3333333,7.121982398,99.33333333
"GID6935577","GID6935577","Bed5IR",83.33333333,124,6.321298545,95.33333333
"GID6935583","GID6935583","Bed5IR",83,123,6.202251242,94.66666667
"GID6935634","GID6935634","Bed5IR",86,127.3333333,5.934376274,101.3333333
"GID6935638","GID6935638","Bed5IR",88.66666667,127.3333333,6.938096818,105
"GID6935647","GID6935647","Bed5IR",89,128,6.992412241,107
"GID6935673","GID6935673","Bed5IR",85.66666667,125.3333333,5.554168571,92.66666667
"GID6935721","GID6935721","Bed5IR",74.66666667,121,5.749853054,98.33333333
"GID6935732","GID6935732","Bed5IR",72,118,5.680697541,96
"GID6935775","GID6935775","Bed5IR",95,137,5.089923365,105
"GID6935786","GID6935786","Bed5IR",92,132,5.506590061,102
"GID6935788","GID6935788","Bed5IR",90,130,5.634566425,100
"GID6935804","GID6935804","Bed5IR",74,117,6.197066151,97
"GID6935817","GID6935817","Bed5IR",71,117,5.596619938,98
"GID6935818","GID6935818","Bed5IR",72,117,5.371173635,97
"GID6935819","GID6935819","Bed5IR",72,114,5.348108331,98
"GID6935823","GID6935823","Bed5IR",93,129,6.079507088,108
"GID6935826","GID6935826","Bed5IR",79,120,5.493941845,104
"GID6935830","GID6935830","Bed5IR",88,126,5.777424208,106
"GID6935855","GID6935855","Bed5IR",89,128,5.961924023,105
"GID6935864","GID6935864","Bed5IR",92,132,6.196298779,108
"GID6935867","GID6935867","Bed5IR",89,127,6.368918173,102
"GID6935869","GID6935869","Bed5IR",89,124,5.918025203,96
"GID6935871","GID6935871","Bed5IR",77,120,6.223084566,103
"GID6935880","GID6935880","Bed5IR",79,119,6.174721686,98
"GID6935883","GID6935883","Bed5IR",80,119,6.131566716,97
"GID6935894","GID6935894","Bed5IR",81,124,6.176954139,90
